"","survey","survey_year","survey_name","canonical_name","canonical_operator"
"38","SFMTA",2014,"AC 800 All Nighter. Richmond BART to Market St. and Van Ness Ave. S.F.","800 All Nighter. Richmond BART to Market St. and Van Ness Ave. S.F.","AC Transit"
"39","SFMTA",2014,"AC 83 Hayward BART to South Hayward BART","83 Hayward BART to South Hayward BART","AC Transit"
"40","SFMTA",2014,"AC 85 San Leandro BART to South Hayward BART","85 San Leandro BART to South Hayward BART","AC Transit"
"41","SFMTA",2014,"AC 851 All Nighter. Downtown Berkeley to Fruitvale BART","851 All Nighter. Downtown Berkeley to Fruitvale BART","AC Transit"
"42","SFMTA",2014,"AC 88 Berkeley BART to Lake Merritt BART","88 Berkeley BART to Lake Merritt BART","AC Transit"
"43","SFMTA",2014,"AC 89 San Leandro BART to Bay Fair BART","89 San Leandro BART to Bay Fair BART","AC Transit"
"44","SFMTA",2014,"AC 97 Bay Fair BART to Union City BART","97 Bay Fair BART to Union City BART","AC Transit"
"45","SFMTA",2014,"AC 98 Coliseum BART Edgewater Dr.","98 Coliseum BART Edgewater Dr.","AC Transit"
"46","SFMTA",2014,"AC 99 Bay Fair BART to Fremont BART","99 Bay Fair BART to Fremont BART","AC Transit"
"47","SFMTA",2014,"AC B Lakeshore Ave. Oakland","B Lakeshore Ave. Oakland","AC Transit"
"48","SFMTA",2014,"AC C Highland Ave. Piedmont","C Highland Ave. Piedmont","AC Transit"
"49","SFMTA",2014,"AC CB Warren Freeway and Broadway Terr. Oakland","CB Warren Freeway and Broadway Terr. Oakland","AC Transit"
"50","SFMTA",2014,"AC E Caldecott Ln. Oakland","E Caldecott Ln. Oakland","AC Transit"
"51","SFMTA",2014,"AC F UC Campus Berkeley","F UC Campus Berkeley","AC Transit"
"52","SFMTA",2014,"AC FS Solano Ave. Berkeley","FS Solano Ave. Berkeley","AC Transit"
"53","SFMTA",2014,"AC G Richmond St. & Potrero St. El Cerrito","G Richmond St. & Potrero St. El Cerrito","AC Transit"
"54","SFMTA",2014,"AC H Barrett Ave. & San Pablo Ave. El Cerrito","H Barrett Ave. & San Pablo Ave. El Cerrito","AC Transit"
"55","SFMTA",2014,"AC J Sacramento St. and University Ave. Berkeley","J Sacramento St. and University Ave. Berkeley","AC Transit"
"56","SFMTA",2014,"AC L San Pablo Dam Rd.","L San Pablo Dam Rd.","AC Transit"
"57","SFMTA",2014,"AC LA Hilltop Dr. Park & Ride","LA Hilltop Dr. Park & Ride","AC Transit"
"58","SFMTA",2014,"AC NL Eastmont Transit Center Oakland","NL Eastmont Transit Center Oakland","AC Transit"
"59","SFMTA",2014,"AC NX Seminary Ave. & MacArthur Blvd.","NX Seminary Ave. & MacArthur Blvd.","AC Transit"
"60","SFMTA",2014,"AC NX1 Fruitvale Ave. & MacArthur Blvd.","NX1 Fruitvale Ave. & MacArthur Blvd.","AC Transit"
"61","SFMTA",2014,"AC NX2 High St. & MacArthur Blvd.","NX2 High St. & MacArthur Blvd.","AC Transit"
"62","SFMTA",2014,"AC NX3 Marlow Dr. & Foothill Way Oakland","NX3 Marlow Dr. & Foothill Way Oakland","AC Transit"
"63","SFMTA",2014,"AC NX4 Castro Valley Park & Ride","NX4 Castro Valley Park & Ride","AC Transit"
"64","SFMTA",2014,"AC O Park Ave. & Encinal Ave. Alameda","O Park Ave. & Encinal Ave. Alameda","AC Transit"
"65","SFMTA",2014,"AC P Highland Ave. & Highland Way Piedmont","P Highland Ave. & Highland Way Piedmont","AC Transit"
"66","SFMTA",2014,"AC S Eden Shores Hayward","S Eden Shores Hayward","AC Transit"
"67","SFMTA",2014,"AC SB Cedar Blvd. & Stevenson Blvd. Newark","SB Cedar Blvd. & Stevenson Blvd. Newark","AC Transit"
"68","SFMTA",2014,"AC V Broadway and Broadway Terr. Oakland","V Broadway and Broadway Terr. Oakland","AC Transit"
"69","SFMTA",2014,"AC W Broadway & Blanding Ave. Alameda","W Broadway & Blanding Ave. Alameda","AC Transit"
"70","SFMTA",2014,"Altamont Commuter Express (ACE) Westbound Stockton/San Jose","Stockton/San Jose","ACE"
"71","SFMTA",2014,"Alcatraz Hornblower Ferry","Hornblower Ferry","Alcatraz"
"72","SFMTA",2014,"Angel Island-Tiburon Ferry","Angel Island-Tiburon Ferry","Angel Island-Tiburon Ferry"
"73","SFMTA",2014,"Apple bus","Apple Shuttle","Apple"
"74","SFMTA",2014,"Blue & Gold Sausalito Ferry","Sausalito Ferry","Blue & Gold"
"75","SFMTA",2014,"Blue & Gold Tiburon Ferry","Tiburon Ferry","Blue & Gold"
"76","SFMTA",2014,"81X-Caltrain Express [ INBOUND ]","81X Caltrain Express","Caltrain"
"77","SFMTA",2014,"81X-Caltrain Express","81X Caltrain Express","Caltrain"
"78","SFMTA",2014,"Burlingame Trolley Shuttle (hotels to downtown Burlingame)","Burlingame Trolley Shuttle (hotels to downtown Burlingame)","Caltrain"
"79","SFMTA",2014,"CALTRAIN","Caltrain","Caltrain"
"80","SFMTA",2014,"Caltrain Shuttle","Caltrain Shuttle","Caltrain"
"81","SFMTA",2014,"Genentech Shuttle (Glen Park, others)","Genentech Shuttle (Glen Park, others)","Caltrain"
"82","SFMTA",2014,"Capitol Corridor Intercity Rail","Sacramento/San Jose","Capitol Corridor"
"83","SFMTA",2014,"Capitol Corridor Shuttle Bus","Sacramento/San Jose","Capitol Corridor"
"84","SFMTA",2014,"County Connection 10 BART Concord/Clayton","10 BART Concord/Clayton","County Connection"
"85","SFMTA",2014,"County Connection 11 BART Concord/BART Pleasant","11 BART Concord/BART Pleasant","County Connection"
"86","SFMTA",2014,"County Connection 15 Treat Blvd","15 Treat Blvd","County Connection"
"87","SFMTA",2014,"County Connection 17 BART Concord/North Concord","17 BART Concord/North Concord","County Connection"
"88","SFMTA",2014,"County Connection 1M Walnut Creek BART/Marchbanks","1M Walnut Creek BART/Marchbanks","County Connection"
"89","SFMTA",2014,"County Connection 2 Rudgear/BART Walnut Creek","2 Rudgear/BART Walnut Creek","County Connection"
"90","SFMTA",2014,"County Connection 21 BART Walnut Creek/San Ramon","21 BART Walnut Creek/San Ramon","County Connection"
"91","SFMTA",2014,"County Connection 25 BART Lafayette/BART Walnut Creek","25 BART Lafayette/BART Walnut Creek","County Connection"
"92","SFMTA",2014,"County Connection 28 BART North Concord/Martinez","28 BART North Concord/Martinez","County Connection"
"93","SFMTA",2014,"County Connection 35 BART Dublin/San Ramon","35 BART Dublin/San Ramon","County Connection"
"94","SFMTA",2014,"County Connection 36 San Ramon/BART Dublin","36 San Ramon/BART Dublin","County Connection"
"95","SFMTA",2014,"County Connection 5 Creekside/BART Walnut Creek","5 Creekside/BART Walnut Creek","County Connection"
"96","SFMTA",2014,"County Connection 627 BART North Concord/Mason Cir","627 BART North Concord/Mason Cir","County Connection"
"97","SFMTA",2014,"County Connection 7 Shadelands/BART Pleasant Hill/BART Walnut Creek","7 Shadelands/BART Pleasant Hill/BART Walnut Creek","County Connection"
"98","SFMTA",2014,"County Connection 9 DVC/BART Walnut Creek","9 DVC/BART Walnut Creek","County Connection"
"99","SFMTA",2014,"County Connection Alamo Creek Shuttle","Alamo Creek Shuttle","County Connection"
"100","SFMTA",2014,"Emery Go-Round Hollis","Go-Round Hollis","Emeryville MTA"
"101","SFMTA",2014,"Emery Go-Round Hollis South","Go-Round Hollis South","Emeryville MTA"
"102","SFMTA",2014,"Emery Go-Round Shellmound/Powell","Go-Round Shellmound/Powell","Emeryville MTA"
"103","SFMTA",2014,"Facebook Shuttle (Ashby, MacArthur)","Facebook Shuttle (Ashby, MacArthur)","Facebook"
"104","SFMTA",2014,"Fairfield and Suisun Transit (FAST) 90 Fairfield - El Cerrito Del Norte BART","90 Fairfield - El Cerrito Del Norte BART","FAST"
"105","SFMTA",2014,"Golden Gate 101 Santa Rosa - San Francisco","101 Santa Rosa - San Francisco","Golden Gate Transit"
"106","SFMTA",2014,"Golden Gate 101X Santa Rosa - San Francisco","101X Santa Rosa - San Francisco","Golden Gate Transit"
"107","SFMTA",2014,"Golden Gate 17 San Rafael - Sausalito","17 San Rafael - Sausalito","Golden Gate Transit"
"108","SFMTA",2014,"Golden Gate 18 College of Marin - San Francisco","18 College of Marin - San Francisco","Golden Gate Transit"
"109","SFMTA",2014,"Golden Gate 2 Marin Headlands","2 Marin Headlands","Golden Gate Transit"
"110","SFMTA",2014,"Golden Gate 24 Manor - Fairfax - San Francisco","24 Manor - Fairfax - San Francisco","Golden Gate Transit"
"111","SFMTA",2014,"Golden Gate 27 San Anselmo - San Francisco","27 San Anselmo - San Francisco","Golden Gate Transit"
"112","SFMTA",2014,"Golden Gate 29 San Rafael - Larkspur Landing - Fairfax - Manor","29 San Rafael - Larkspur Landing - Fairfax - Manor","Golden Gate Transit"
"113","SFMTA",2014,"Golden Gate 4 Mill Valley - San Francisco","4 Mill Valley - San Francisco","Golden Gate Transit"
"114","SFMTA",2014,"Golden Gate 54 San Marin - San Francisco","54 San Marin - San Francisco","Golden Gate Transit"
"115","SFMTA",2014,"Golden Gate 70 Novato - San Francisco","70 Novato - San Francisco","Golden Gate Transit"
"116","SFMTA",2014,"Golden Gate 72 Santa Rosa - Rohnert Park - San Francisco","72 Santa Rosa - Rohnert Park - San Francisco","Golden Gate Transit"
"117","SFMTA",2014,"Golden Gate 74 Santa Rosa - Cotati - San Francisco","74 Santa Rosa - Cotati - San Francisco","Golden Gate Transit"
"118","SFMTA",2014,"Golden Gate 92 Manzanita Park & Ride - San Francisco","92 Manzanita Park & Ride - San Francisco","Golden Gate Transit"
"119","SFMTA",2014,"Golden Gate 97 Larkspur Ferry Terminal - San Francisco","97 Larkspur Ferry Terminal - San Francisco","Golden Gate Transit"
"120","SFMTA",2014,"Golden Gate Ferry Larkspur Ferry","Ferry Larkspur Ferry","Golden Gate Transit"
"121","SFMTA",2014,"Golden Gate Ferry Sausalito Ferry","Ferry Sausalito Ferry","Golden Gate Transit"
"122","SFMTA",2014,"Blue & Gold Harbor Bay","Harbor Bay","Harbor Bay"
"123","SFMTA",2014,"Harbor Bay Shuttle (Coliseum)","Harbor Bay Shuttle (Coliseum)","Harbor Bay"
"124","SFMTA",2014,"LBL / Lawrence Berkeley Lab Shuttle (Downtown Berkeley, Rockridge)","LBL / Lawrence Berkeley Lab Shuttle (Downtown Berkeley, Rockridge)","LBL"
"125","SFMTA",2014,"Livermore Amadore 10R","10R","Livermore Amadore Transit"
"126","SFMTA",2014,"Livermore Amadore Transit","Transit","Livermore Amadore Transit"
"127","SFMTA",2014,"Marin 228 College of Marin/Indian Valley Campus","228 College of Marin/Indian Valley Campus","Marin Transit"
"128","SFMTA",2014,"Marin 233 Santa Venetia Shuttle","233 Santa Venetia Shuttle","Marin Transit"
"129","SFMTA",2014,"Marin36","36","Marin Transit"
"130","SFMTA",2014,"-","-","Missing"
"131","SFMTA",2014,"Missing - Dummy Record","Missing - Dummy Record","Missing"
"132","SFMTA",2014,"VINE 29 29 Commuter Express","29 Commuter Express","Napa Vine"
"133","SFMTA",2014,"PresidiGo Shuttles (Embarcadero, GG Park area)","PresidiGo Shuttles (Embarcadero, GG Park area)","PresidiGo"
"134","SFMTA",2014,"SamTrans 110 Linda Mar Daly City BART","110 Linda Mar Daly City BART","SamTrans"
"135","SFMTA",2014,"SamTrans 112 Linda Mar Colma BART","112 Linda Mar Colma BART","SamTrans"
"136","SFMTA",2014,"SamTrans 120 Colma BART Daly City BART","120 Colma BART Daly City BART","SamTrans"
"137","SFMTA",2014,"SamTrans 121 Skyline College Daly City BART","121 Skyline College Daly City BART","SamTrans"
"138","SFMTA",2014,"SamTrans 122 South San Francisco BART Stonestown","122 South San Francisco BART Stonestown","SamTrans"
"139","SFMTA",2014,"SamTrans 130 South San Francisco BART Daly City BART","130 South San Francisco BART Daly City BART","SamTrans"
"140","SFMTA",2014,"SamTrans 131 Airport/Linden - Serramonte Center","131 Airport/Linden - Serramonte Center","SamTrans"
"141","SFMTA",2014,"SamTrans 140 Pacific Manor San Bruno BART","140 Pacific Manor San Bruno BART","SamTrans"
"142","SFMTA",2014,"SamTrans 141 Downtown San Bruno San Bruno BART","141 Downtown San Bruno San Bruno BART","SamTrans"
"143","SFMTA",2014,"SamTrans 250 Downtown San Mateo College of San Mateo","250 Downtown San Mateo College of San Mateo","SamTrans"
"144","SFMTA",2014,"SamTrans 256 Hillsdale Mall - Foster City","256 Hillsdale Mall - Foster City","SamTrans"
"145","SFMTA",2014,"SamTrans 260 Carlmont Village San Carlos Caltrain","260 Carlmont Village San Carlos Caltrain","SamTrans"
"146","SFMTA",2014,"SamTrans 270 Redwood City Caltrain Station Marsh Road (Menlo Park)","270 Redwood City Caltrain Station Marsh Road (Menlo Park)","SamTrans"
"147","SFMTA",2014,"SamTrans 275 Woodside/Fernside - Redwood City Transit Center","275 Woodside/Fernside - Redwood City Transit Center","SamTrans"
"148","SFMTA",2014,"SamTrans 276 Redwood City Transit Center - Florence/17th","276 Redwood City Transit Center - Florence/17th","SamTrans"
"149","SFMTA",2014,"SamTrans 281 Stanford Shopping Center Palo Alto Caltrain East Palo Alto","281 Stanford Shopping Center Palo Alto Caltrain East Palo Alto","SamTrans"
"150","SFMTA",2014,"SamTrans 292 Hillsdale Shopping Center SF International Airport San Francisco","292 Hillsdale Shopping Center SF International Airport San Francisco","SamTrans"
"151","SFMTA",2014,"SamTrans 295 Downtown San Mateo Menlo Park","295 Downtown San Mateo Menlo Park","SamTrans"
"152","SFMTA",2014,"SamTrans 296 Redwood City East Palo Alto","296 Redwood City East Palo Alto","SamTrans"
"153","SFMTA",2014,"SamTrans 398 San Bruno BART - Redwood City Transit Center","398 San Bruno BART - Redwood City Transit Center","SamTrans"
"154","SFMTA",2014,"SamTrans ECR Palo Alto - Daly City","ECR Palo Alto - Daly City","SamTrans"
"155","SFMTA",2014,"SamTrans SCS","SCS","SamTrans"
"156","SFMTA",2014,"San Francisco Bay Ferry Alameda/Oakland Ferry","Alameda/Oakland Ferry","San Francisco Bay Ferry"
"157","SFMTA",2014,"San Francisco Bay Ferry Harbor Bay Ferry","Harbor Bay Ferry","San Francisco Bay Ferry"
"158","SFMTA",2014,"San Francisco Bay Ferry Vallejo Ferry","Vallejo Ferry","San Francisco Bay Ferry"
"159","SFMTA",2014,"1-California [ INBOUND ]","1 California","SF Muni"
"160","SFMTA",2014,"1-California [ OUTBOUND ]","1 California","SF Muni"
"161","SFMTA",2014,"MUNI 1-California","1 California","SF Muni"
"162","SFMTA",2014,"1-California","1 California","SF Muni"
"163","SFMTA",2014,"10-Townsend [ INBOUND ]","10 Townsend","SF Muni"
"164","SFMTA",2014,"10-Townsend [ OUTBOUND ]","10 Townsend","SF Muni"
"165","SFMTA",2014,"MUNI 10-Townsend","10 Townsend","SF Muni"
"166","SFMTA",2014,"10-Townsend","10 Townsend","SF Muni"
"167","SFMTA",2014,"10R Livermore Amador Valley Transit","10R Livermore Amador Valley Transit","SF Muni"
"168","SFMTA",2014,"12-Folsom/Pacific [ INBOUND ]","12 Folsom Pacific","SF Muni"
"169","SFMTA",2014,"12-Folsom/Pacific [ OUTBOUND ]","12 Folsom Pacific","SF Muni"
"170","SFMTA",2014,"MUNI 12-Folsom/Pacific","12 Folsom Pacific","SF Muni"
"171","SFMTA",2014,"12-Folsom/Pacific","12 Folsom Pacific","SF Muni"
"172","SFMTA",2014,"14-Mission [ INBOUND ]","14 Mission","SF Muni"
"173","SFMTA",2014,"14-Mission [ OUTBOUND ]","14 Mission","SF Muni"
"174","SFMTA",2014,"MUNI 14-Mission","14 Mission","SF Muni"
"175","SFMTA",2014,"14-Mission","14 Mission","SF Muni"
"176","SFMTA",2014,"14R-Mission Rapid [ INBOUND ]","14R Mission Rapid","SF Muni"
"177","SFMTA",2014,"14R-Mission Rapid [ OUTBOUND ]","14R Mission Rapid","SF Muni"
"178","SFMTA",2014,"MUNI 14R-Mission Rapid","14R Mission Rapid","SF Muni"
"179","SFMTA",2014,"14R-Mission Rapid","14R Mission Rapid","SF Muni"
"180","SFMTA",2014,"14X-Mission Express [ INBOUND ]","14X Mission Express","SF Muni"
"181","SFMTA",2014,"14X-Mission Express [ OUTBOUND ]","14X Mission Express","SF Muni"
"182","SFMTA",2014,"MUNI 14X-Mission Express","14X Mission Express","SF Muni"
"183","SFMTA",2014,"14X-Mission Express","14X Mission Express","SF Muni"
"184","SFMTA",2014,"18-46th Avenue [ INBOUND ]","18 46th Avenue","SF Muni"
"185","SFMTA",2014,"18-46th Avenue [ OUTBOUND ]","18 46th Avenue","SF Muni"
"186","SFMTA",2014,"MUNI 18-46th Avenue","18 46th Avenue","SF Muni"
"187","SFMTA",2014,"18-46th Avenue","18 46th Avenue","SF Muni"
"188","SFMTA",2014,"19-Polk [ INBOUND ]","19 Polk","SF Muni"
"189","SFMTA",2014,"19-Polk [ OUTBOUND ]","19 Polk","SF Muni"
"190","SFMTA",2014,"MUNI 19-Polk","19 Polk","SF Muni"
"191","SFMTA",2014,"19-Polk","19 Polk","SF Muni"
"192","SFMTA",2014,"1AX-California A Express [ INBOUND ]","1AX California A Express","SF Muni"
"193","SFMTA",2014,"1AX-California A Express [ OUTBOUND ]","1AX California A Express","SF Muni"
"194","SFMTA",2014,"MUNI 1AX-California A Express","1AX California A Express","SF Muni"
"195","SFMTA",2014,"1AX-California A Express","1AX California A Express","SF Muni"
"196","SFMTA",2014,"1BX-California B Express [ INBOUND ]","1BX California B Express","SF Muni"
"197","SFMTA",2014,"1BX-California B Express [ OUTBOUND ]","1BX California B Express","SF Muni"
"198","SFMTA",2014,"MUNI 1BX-California B Express","1BX California B Express","SF Muni"
"199","SFMTA",2014,"1BX-California B Express","1BX California B Express","SF Muni"
"200","SFMTA",2014,"2-Clement [ INBOUND ]","2 Clement","SF Muni"
"201","SFMTA",2014,"2-Clement [ OUTBOUND ]","2 Clement","SF Muni"
"202","SFMTA",2014,"MUNI 2-Clement","2 Clement","SF Muni"
"203","SFMTA",2014,"2-Clement","2 Clement","SF Muni"
"204","SFMTA",2014,"21-Hayes [ INBOUND ]","21 Hayes","SF Muni"
"205","SFMTA",2014,"21-Hayes [ OUTBOUND ]","21 Hayes","SF Muni"
"206","SFMTA",2014,"MUNI 21-Hayes","21 Hayes","SF Muni"
"207","SFMTA",2014,"21-Hayes","21 Hayes","SF Muni"
"208","SFMTA",2014,"22-Fillmore [ INBOUND ]","22 Fillmore","SF Muni"
"209","SFMTA",2014,"22-Fillmore [ OUTBOUND ]","22 Fillmore","SF Muni"
"210","SFMTA",2014,"MUNI 22-Fillmore","22 Fillmore","SF Muni"
"211","SFMTA",2014,"22-Fillmore","22 Fillmore","SF Muni"
"212","SFMTA",2014,"23-Monterey [ INBOUND ]","23 Monterey","SF Muni"
"213","SFMTA",2014,"23-Monterey [ OUTBOUND ]","23 Monterey","SF Muni"
"214","SFMTA",2014,"MUNI 23-Monterey","23 Monterey","SF Muni"
"215","SFMTA",2014,"23-Monterey","23 Monterey","SF Muni"
"216","SFMTA",2014,"24-Divisadero [ INBOUND ]","24 Divisadero","SF Muni"
"217","SFMTA",2014,"24-Divisadero [ OUTBOUND ]","24 Divisadero","SF Muni"
"218","SFMTA",2014,"MUNI 24-Divisadero","24 Divisadero","SF Muni"
"219","SFMTA",2014,"24-Divisadero","24 Divisadero","SF Muni"
"220","SFMTA",2014,"25-Treasure Island [ INBOUND ]","25 Treasure Island","SF Muni"
"221","SFMTA",2014,"25-Treasure Island [ OUTBOUND ]","25 Treasure Island","SF Muni"
"222","SFMTA",2014,"MUNI 25-Treasure Island","25 Treasure Island","SF Muni"
"223","SFMTA",2014,"25-Treasure Island","25 Treasure Island","SF Muni"
"224","SFMTA",2014,"27-Bryant [ INBOUND ]","27 Bryant","SF Muni"
"225","SFMTA",2014,"27-Bryant [ OUTBOUND ]","27 Bryant","SF Muni"
"226","SFMTA",2014,"MUNI 27-Bryant","27 Bryant","SF Muni"
"227","SFMTA",2014,"27-Bryant","27 Bryant","SF Muni"
"228","SFMTA",2014,"28-19th Avenue [ INBOUND ]","28 19th Avenue","SF Muni"
"229","SFMTA",2014,"28-19th Avenue [ OUTBOUND ]","28 19th Avenue","SF Muni"
"230","SFMTA",2014,"MUNI 28-19th Avenue","28 19th Avenue","SF Muni"
"231","SFMTA",2014,"28-19th Avenue","28 19th Avenue","SF Muni"
"232","SFMTA",2014,"28R-19th Avenue Rapid [ INBOUND ]","28R 19th Avenue Rapid","SF Muni"
"233","SFMTA",2014,"28R-19th Avenue Rapid [ OUTBOUND ]","28R 19th Avenue Rapid","SF Muni"
"234","SFMTA",2014,"MUNI 28R-19th Avenue Rapid","28R 19th Avenue Rapid","SF Muni"
"235","SFMTA",2014,"28R-19th Avenue Rapid","28R 19th Avenue Rapid","SF Muni"
"236","SFMTA",2014,"29-Sunset [ INBOUND ]","29 Sunset","SF Muni"
"237","SFMTA",2014,"29-Sunset [ OUTBOUND ]","29 Sunset","SF Muni"
"238","SFMTA",2014,"MUNI 29-Sunset","29 Sunset","SF Muni"
"239","SFMTA",2014,"29-Sunset","29 Sunset","SF Muni"
"240","SFMTA",2014,"3-Jackson [ INBOUND ]","3 Jackson","SF Muni"
"241","SFMTA",2014,"3-Jackson [ OUTBOUND ]","3 Jackson","SF Muni"
"242","SFMTA",2014,"MUNI 3-Jackson","3 Jackson","SF Muni"
"243","SFMTA",2014,"3-Jackson","3 Jackson","SF Muni"
"244","SFMTA",2014,"30-Stockton [ INBOUND ]","30 Stockton","SF Muni"
"245","SFMTA",2014,"30-Stockton [ OUTBOUND ]","30 Stockton","SF Muni"
"246","SFMTA",2014,"MUNI 30-Stockton","30 Stockton","SF Muni"
"247","SFMTA",2014,"30-Stockton","30 Stockton","SF Muni"
"248","SFMTA",2014,"30X-Marina Express [ INBOUND ]","30X Marina Express","SF Muni"
"249","SFMTA",2014,"30X-Marina Express [ OUTBOUND ]","30X Marina Express","SF Muni"
"250","SFMTA",2014,"MUNI 30X-Marina Express","30X Marina Express","SF Muni"
"251","SFMTA",2014,"30X-Marina Express","30X Marina Express","SF Muni"
"252","SFMTA",2014,"31-Balboa [ INBOUND ]","31 Balboa","SF Muni"
"253","SFMTA",2014,"31-Balboa [ OUTBOUND ]","31 Balboa","SF Muni"
"254","SFMTA",2014,"MUNI 31-Balboa","31 Balboa","SF Muni"
"255","SFMTA",2014,"31-Balboa","31 Balboa","SF Muni"
"256","SFMTA",2014,"31AX-Balboa A Express [ INBOUND ]","31AX Balboa A Express","SF Muni"
"257","SFMTA",2014,"31AX-Balboa A Express [ OUTBOUND ]","31AX Balboa A Express","SF Muni"
"258","SFMTA",2014,"MUNI 31AX-Balboa A Express","31AX Balboa A Express","SF Muni"
"259","SFMTA",2014,"31AX-Balboa A Express","31AX Balboa A Express","SF Muni"
"260","SFMTA",2014,"31BX-Balboa B Express [ INBOUND ]","31BX Balboa B Express","SF Muni"
"261","SFMTA",2014,"31BX-Balboa B Express [ OUTBOUND ]","31BX Balboa B Express","SF Muni"
