ID,DATE,WEEKDAY_OR_WEEKEND,ROUTE_SURVEYED_CODE,ROUTE_SURVEYED,DIRECTION,ORIGIN_PLACE_TYPE_CODE,ORIGIN_PLACE_TYPE,ORIGIN_NAME,ACCESS_MODE_CODE,ACCESS_MODE,DESTINATION_PLACE_TYPE_CODE,DESTINATION_PLACE_TYPE,EGRESS_MODE_CODE,EGRESS_MODE,LAST_LEFT_HOME_CODE,LAST_LEFT_HOME,RETURN_HOME_CODE,RETURN_HOME,PAY_MODE_CODE,PAY_MODE,FARE_TYPE_CODE,FARE_TYPE,EMPLOYMENT_STATUS_CODE,EMPLOYMENT_STATUS,WORK_BEFORE_TRIP_CODE,WORK_BEFORE_TRIP,WORK_AFTER_TRIP_CODE,WORK_AFTER_TRIP,STUDENT_STATUS_CODE,STUDENT_STATUS,BEEN_2SCHOOL_TODAY_CODE,BEEN_2SCHOOL_TODAY,WILL_GO2SCHOOL_TODAY_CODE,WILL_GO2SCHOOL_TODAY,PPL_IN_HH_CODE,PPL_IN_HH,EMPLYD_IN_HH_CODE,EMPLYD_IN_HH,VEH_IN_HH_CODE,VEH_IN_HH,HAVE_DRIVERS_LIC_CODE,HAVE_DRIVERS_LIC,YEAR_BORN,HISP_LATINO_SPANISH_CODE,HISP_LATINO_SPANISH,RACE_AMERICANINDIAN_ALASKANNATIVE,RACE_ASIAN,RACE_BLACK_AFRICANAM,RACE_NATHAWAIIAN_PACISLAND,RACE_WHITE,RACE_OR_ETHNICITY_OTHER,LANG_OTHER_THAN_ENG_CODE,LANG_OTHER_THAN_ENG,OTHER_LANG_CODE,OTHER_LANG,ENGLISH_FLUENCY_CODE,ENGLISH_FLUENCY,HH_INCOME_CODE,HH_INCOME,GENDER_CODE,GENDER,TIME_BOARDED_CODE,TIME_BOARDED,TIME_PERIOD_CODE,TIME_PERIOD,UNLINKED_WGHT_FCTR_NAME,UNLINKED_WGHT_FCTR,TOTAL_TRANSFERS,LINKED_TRIP_FACTOR,,
962,05/14/14,Weekday,04LP,4 Shetler/South Napa Marketplace [Loop],LP,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),8,Dining / coffee,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,14,5 - 6 p.m.,3,20 - Ride Pass,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A1,1,1,1,0,None,Y,Yes,1992,Y,Yes,No,No,Yes,No,No,,Y,Yes,143,Spanish,1,Very well,2,"$10,000-$24,999",1,Male,4,8 - 8:59 a.m.,AM2,AM PEAK,04LP_AM2,8.768115942,0,1,,
967,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,7,Get picked up by someone,4,7 - 8 a.m.,5,8 - 9 a.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A3,3,2,2,1,1,Y,Yes,1977,N,No,No,No,Yes,No,No,,N,No,,,,,6,"$50,000-$59,999",1,Male,4,8 - 8:59 a.m.,AM2,AM PEAK,11S_AM2,5.826086957,0,1,,
968,05/14/14,Weekday,02LP,2 Outlets/Old Sonoma/Laurel [Loop],LP,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),5,School (K-12 student only),1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,10,1 - 2 p.m.,1,Cash Fare,3,Student,N,No,N,No,N,No,Y,Yes,N,No,Y,Yes,A5,5,0,None,0,None,N,No,1996,Y,Yes,No,No,No,No,No,Mexican,N,No,,,,,1,"Less than $10,000",2,Female,4,8 - 8:59 a.m.,AM2,AM PEAK,02LP_AM2,7.35326087,1,0.5,,
969,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),11,Medical/dental,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,8,11 a.m. - 12 p.m.,1,Cash Fare,1,Adult,N,No,N,No,N,No,Y,Yes,N,No,N,No,A5,5,2,2,3,3,N,No,1997,Y,Yes,No,No,No,No,No,Hispanic,Y,Yes,143,Spanish,1,Very well,3,"$25,000-$34,999",2,Female,4,8 - 8:59 a.m.,AM2,AM PEAK,10S_AM2,5.394927536,0,1,,
970,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,7,Was dropped off by someone,4,College/university (student only),1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,12,3 - 4 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,N,No,Y,Yes,N,No,Y,Yes,A3,3,2,2,1,1,N,No,1992,N,No,No,No,Yes,No,No,,N,No,,,,,6,"$50,000-$59,999",2,Female,4,8 - 8:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,0,1,,
971,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,12,3 - 4 p.m.,1,Cash Fare,2,Senior / Disabled,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A1,1,1,1,0,None,N,No,1954,Y,Yes,No,No,No,No,No,Hispanic,Y,Yes,143,Spanish,3,Not well,88,I don't know,2,Female,4,8 - 8:59 a.m.,AM2,AM PEAK,10S_AM2,5.394927536,0,1,,
972,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),11,Medical/dental,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,12,3 - 4 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,N,No,N,No,N,No,N,No,A3,3,3,3,2,2,Y,Yes,1956,N,No,No,Yes,No,No,No,,Y,Yes,143,Spanish,2,Well,1,"Less than $10,000",1,Male,4,8 - 8:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,0,1,,
974,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),10,Social or recreational,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,9,12 - 1 p.m.,4,31 - Day Pass,2,Senior / Disabled,N,No,N,No,N,No,N,No,N,No,N,No,A1,1,0,None,0,None,Y,Yes,1938,N,No,No,No,No,No,Yes,,N,No,,,,,3,"$25,000-$34,999",1,Male,6,10 - 10:59 a.m.,MID,MIDDAY,10S_MID,8.891304348,0,1,,
975,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),4,College/university (student only),1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,12,3 - 4 p.m.,1,Cash Fare,2,Senior / Disabled,N,No,N,No,N,No,Y,Yes,N,No,Y,Yes,A1,1,0,None,0,None,Y,Yes,1982,N,No,No,No,Yes,No,No,,N,No,,,,,1,"Less than $10,000",1,Male,5,9 - 9:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,0,1,,
976,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,10,Social or recreational,FAMILY'S HOUSE,7,Was dropped off by someone,1,Your Home,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,8,11 a.m. - 12 p.m.,3,20 - Ride Pass,1,Adult,N,No,N,No,N,No,N,No,N,No,N,No,A2,2,1,1,0,None,N,No,1985,N,No,No,No,No,No,Yes,,N,No,,,,,1,"Less than $10,000",2,Female,5,9 - 9:59 a.m.,AM2,AM PEAK,10S_AM2,5.394927536,0,1,,
978,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,99,Will not go home today,1,Cash Fare,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A3,3,2,2,1,1,Y,Yes,1990,Y,Yes,Yes,No,No,No,Yes,,N,No,,,,,2,"$10,000-$24,999",1,Male,5,9 - 9:59 a.m.,AM2,AM PEAK,11S_AM2,5.826086957,3,0.25,,
979,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),10,Social or recreational,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,16,7 - 8 p.m.,1,Cash Fare,2,Senior / Disabled,N,No,N,No,N,No,N,No,N,No,N,No,A1,1,0,None,0,None,Y,Yes,1943,Y,Yes,No,No,No,No,No,Mexican,N,No,,,,,2,"$10,000-$24,999",1,Male,5,9 - 9:59 a.m.,AM2,AM PEAK,10S_AM2,5.394927536,0,1,,
980,05/14/14,Weekday,02LP,2 Outlets/Old Sonoma/Laurel [Loop],LP,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),4,College/university (student only),1,Walk all the way (includes skateboard / non-motorized scooter),6,9 - 10 a.m.,16,7 - 8 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,N,No,Y,Yes,N,No,Y,Yes,A6,6,3,3,2,2,Y,Yes,1989,Y,Yes,No,No,No,No,No,Mexican,Y,Yes,143,Spanish,1,Very well,2,"$10,000-$24,999",2,Female,5,9 - 9:59 a.m.,AM2,AM PEAK,02LP_AM2,7.35326087,1,0.5,,
981,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),4,College/university (student only),1,Walk all the way (includes skateboard / non-motorized scooter),6,9 - 10 a.m.,11,2 - 3 p.m.,1,Cash Fare,1,Adult,N,No,N,No,N,No,Y,Yes,N,No,Y,Yes,A5,5,3,3,2,2,N,No,1994,Y,Yes,No,No,No,No,No,Hispanic,Y,Yes,143,Spanish,1,Very well,3,"$25,000-$34,999",2,Female,5,9 - 9:59 a.m.,AM2,AM PEAK,10S_AM2,5.394927536,0,1,,
982,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,6,Drove or rode with others and parked / carpooled,4,College/university (student only),1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,10,1 - 2 p.m.,1,Cash Fare,3,Student,N,No,N,No,N,No,Y,Yes,N,No,Y,Yes,A4,4,2,2,2,2,N,No,1993,N,No,No,Yes,No,No,No,,N,No,,,,,88,I don't know,1,Male,5,9 - 9:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,0,1,,
983,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,1,Your Home,HOME,5,Drove alone and parked,10,Social or recreational,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,99,Will not go home today,1,Cash Fare,1,Adult,N,No,N,No,N,No,N,No,N,No,N,No,A1,1,0,None,2,2,Y,Yes,1943,N,No,No,No,Yes,No,No,,Y,Yes,143,Spanish,1,Very well,7,"$60,000-$74,999",2,Female,5,9 - 9:59 a.m.,AM2,AM PEAK,10S_AM2,5.394927536,2,0.333333333,,
984,05/14/14,Weekday,02LP,2 Outlets/Old Sonoma/Laurel [Loop],LP,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),11,Medical/dental,1,Walk all the way (includes skateboard / non-motorized scooter),6,9 - 10 a.m.,88,I don't know / I am not certain,4,31 - Day Pass,1,Adult,Y,Yes,N,No,N,No,N,No,N,No,N,No,A1,1,1,1,0,None,N,No,1958,Y,Yes,No,No,No,No,No,Mexican and Hawaiian,Y,Yes,143,Spanish,1,Very well,2,"$10,000-$24,999",2,Female,5,9 - 9:59 a.m.,AM2,AM PEAK,02LP_AM2,7.35326087,1,0.5,,
986,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),10,Social or recreational,7,Get picked up by someone,5,8 - 9 a.m.,14,5 - 6 p.m.,1,Cash Fare,2,Senior / Disabled,N,No,N,No,N,No,N,No,N,No,N,No,A1,1,0,None,0,None,Y,Yes,1941,N,No,No,No,No,No,Yes,,N,No,,,,,1,"Less than $10,000",1,Male,5,9 - 9:59 a.m.,AM2,AM PEAK,11S_AM2,5.826086957,1,0.5,,
987,05/14/14,Weekday,11N,11 N Vallejo/Redwood PNR [Northbound],N,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,20,After 11 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A5,5,4,4,2,2,N,No,1995,Y,Yes,No,No,No,No,Yes,,N,No,,,,,6,"$50,000-$59,999",2,Female,5,9 - 9:59 a.m.,AM2,AM PEAK,11N_AM2,8.879227053,1,0.5,,
988,05/14/14,Weekday,04LP,4 Shetler/South Napa Marketplace [Loop],LP,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),8,Dining / coffee,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,15,6 - 7 p.m.,1,Cash Fare,1,Adult,N,No,N,No,N,No,N,No,N,No,N,No,A3,3,1,1,0,None,Y,Yes,1983,N,No,No,No,No,No,Yes,,N,No,,,,,1,"Less than $10,000",2,Female,5,9 - 9:59 a.m.,AM2,AM PEAK,04LP_AM2,8.768115942,0,1,,
989,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,2,Work,BEST FIRE EQUIPMENT COMPANY,1,Walked all the way (includes skateboard / non-motorized scooter),1,Your Home,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,7,10 - 11 a.m.,4,31 - Day Pass,1,Adult,Y,Yes,Y,Yes,N,No,N,No,N,No,N,No,A4,4,3,3,2,2,N,No,1995,N,No,Yes,No,No,Yes,Yes,,N,No,,,,,88,I don't know,1,Male,5,9 - 9:59 a.m.,AM2,AM PEAK,11S_AM2,5.826086957,0,1,,
990,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,1,Your Home,HOME,4,Motorcycled /motorized scooter / moped,11,Medical/dental,1,Walk all the way (includes skateboard / non-motorized scooter),4,7 - 8 a.m.,12,3 - 4 p.m.,1,Cash Fare,2,Senior / Disabled,N,No,N,No,N,No,N,No,N,No,N,No,A3,3,2,2,2,2,Y,Yes,1960,N,No,No,No,No,No,Yes,,N,No,,,,,7,"$60,000-$74,999",2,Female,6,10 - 10:59 a.m.,MID,MIDDAY,10S_MID,8.891304348,1,0.5,,
991,05/14/14,Weekday,11S,11 N Vallejo/Redwood PNR [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),11,Medical/dental,1,Walk all the way (includes skateboard / non-motorized scooter),6,9 - 10 a.m.,8,11 a.m. - 12 p.m.,1,Cash Fare,2,Senior / Disabled,N,No,N,No,N,No,N,No,N,No,N,No,A2,2,1,1,2,2,N,No,1951,Y,Yes,No,No,No,No,No,Hispanic,Y,Yes,143,Spanish,4,Not at all,1,"Less than $10,000",1,Male,6,10 - 10:59 a.m.,MID,MIDDAY,11S_MID,9.365942029,0,1,,
992,05/14/14,Weekday,04LP,4 Shetler/South Napa Marketplace [Loop],LP,2,Work,RALEY'S,1,Walked all the way (includes skateboard / non-motorized scooter),1,Your Home,1,Walk all the way (includes skateboard / non-motorized scooter),2,5 - 6 a.m.,7,10 - 11 a.m.,3,20 - Ride Pass,1,Adult,Y,Yes,Y,Yes,N,No,N,No,N,No,N,No,A3,3,3,3,1,1,Y,Yes,1989,N,No,No,No,Yes,No,No,,N,No,,,,,3,"$25,000-$34,999",1,Male,6,10 - 10:59 a.m.,MID,MIDDAY,04LP_MID,9.547826087,0,1,,
994,05/14/14,Weekday,10N,10 NVC/Calistoga [Northbound],N,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),2,Work,1,Walk all the way (includes skateboard / non-motorized scooter),7,10 - 11 a.m.,19,10 - 11 p.m.,3,20 - Ride Pass,1,Adult,Y,Yes,N,No,Y,Yes,N,No,N,No,N,No,A2,2,2,2,2,2,Y,Yes,1981,Y,Yes,No,No,No,No,No,Hispanic,N,No,,,,,8,"$75,000-$99,999",1,Male,6,10 - 10:59 a.m.,MID,MIDDAY,10N_MID,7.996047431,1,0.5,,
995,05/14/14,Weekday,10N,10 NVC/Calistoga [Northbound],N,1,Your Home,HOME,7,Was dropped off by someone,6,Shopping,1,Walk all the way (includes skateboard / non-motorized scooter),5,8 - 9 a.m.,14,5 - 6 p.m.,1,Cash Fare,1,Adult,Y,Yes,N,No,N,No,N,No,N,No,N,No,A2,2,1,1,2,2,Y,Yes,1962,N,No,No,No,No,No,Yes,,N,No,,,,,3,"$25,000-$34,999",2,Female,6,10 - 10:59 a.m.,MID,MIDDAY,10N_MID,7.996047431,1,0.5,,
996,05/14/14,Weekday,10S,10 NVC/Calistoga [Southbound],S,1,Your Home,HOME,1,Walked all the way (includes skateboard / non-motorized scooter),3,Business appointment,1,Walk all the way (includes skateboard / non-motorized scooter),7,10 - 11 a.m.,10,1 - 2 p.m.,1,Cash Fare,2,Senior / Disabled,N,No,N,No,N,No,N,No,N,No,N,No,A1,1,0,None,0,None,N,No,1964,N,No,No,No,No,No,Yes,,N,No,,,,,1,"Less than $10,000",2,Female,6,10 - 10:59 a.m.,MID,MIDDAY,10S_MID,8.891304348,0,1,,
