ID,Date,AM_PM_Trip,Origin_Type,Origin,Origin_Type,Destination_Type,Destination,Destination_Type,Origin_Access_Mode,1st_Before_Transfer,1st_Before_Transfer_Agency,Destination_Egress_Mode,Employment_status,Work,Student_Status,School,Work_Before_or_After_Trip,Work_After_Trip,Work_Before_Trip,School_Before_or_After_Trip,School_After_Trip,School_Before_Trip,Time_Left_Home,Time_Return_Home,Fare_Payment_(Ticket),Fare_Payment_Other,Fare_Type,Fare_Type_Other,Driver's_License,#_of_Employed_in_Household,#_of_Employed_in_Household_Other,#_of_Drivable_Veh._in_House,#_of_Drivable_Veh._in_House_Other,Year_of_Birth,"Hispanic,_Latino,_or_of_Spanish_Origin_",Race_Ethnicity,Other_Ethnicity,Language_Other_Than_English,Language,Other_Language,English_Fluency,Total_Household_Income,Gender,Weight,#_of_Transfers_
144198,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,14,4,,1,,1,3,,3,,60,2,1,,2,,,,7,2,5.7368,3
144201,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,3,14,3,,1,,1,2,,5,5,62,2,1,,1,12,Arabic,1,8,1,5.7368,1
144202,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,3,15,4,,5,Employer Discount (SJSU),1,3,,3,,81,2,3,,2,,,,6,2,9.9167,2
144210,04/17/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,3,16,3,,1,,1,3,,3,,75,2,3,,1,6,,1,7,2,5.9333,2
144211,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,4,,3,,1,3,,4,,70,2,2,,2,,,,6,2,5.9333,2
144215,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,16,2,,1,,1,4,,3,,65,1,7,Hispanic,2,,,,6,1,6.7234,2
144217,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,15,3,,1,,1,2,,2,,61,2,1,,2,,,,6,1,11.2,2
144218,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,14,3,,1,,1,2,,3,,66,2,1,,2,,,,5,1,11.2,2
144220,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,14,3,,1,,1,2,,4,,60,2,1,,2,,,,7,2,5.52,2
144221,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,15,4,,1,,1,3,,4,,83,2,1,,2,,,,6,2,5.7368,2
149226,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,3,,,1,,,2,,,,,1,15,3,,1,,1,3,,4,,77,1,7,Hispanic,2,,,,7,1,4.9286,2
149227,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,3,15,3,,1,,1,3,,3,,0,1,7,Hispanic,1,1,,2,10,2,4.9286,2
149228,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,3,15,4,,1,,1,5,,3,,0,2,1,,2,,,,10,1,8.4694,2
149229,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,3,15,4,,5,Employer Discount (SJSU),1,3,,3,,81,2,3,,1,3,,1,6,2,9.9167,1
149230,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,1,15,3,,1,,1,5,,3,,0,2,3,,1,6,,2,6,1,9.3684,1
149231,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,2,,3,,,1,,,2,,,,,4,15,4,,1,,1,3,,3,,51,2,2,,2,,,,5,2,11.2,1
149232,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,1,15,4,,1,,1,2,,2,,77,2,1,,2,,,,4,1,8.4694,2
149233,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,15,3,,1,,1,5,,5,5,63,2,3,,2,,,,6,2,10.5333,1
149234,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,3,15,3,,1,,1,3,,4,,75,2,3,,1,12,Punjabi,1,7,2,6.2683,1
149236,04/10/2014,2,1,Origin,Work,3,Dest,Home,5,2,,5,,,1,,,2,,,,,2,17,1,,1,,2,2,,3,,88,1,6,,1,1,,1,3,2,8.5,1
149237,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,5,,,1,,,2,,,,,3,15,4,,1,,1,3,,3,,0,2,1,,2,,,,10,1,8.3158,2
149238,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,2,18,3,,1,,1,3,,5,10,66,2,1,,2,,,,8,2,5.7368,2
149239,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,4,15,3,,1,,1,3,,3,,73,2,5,,2,,,,8,2,9.8636,1
149240,04/10/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,3,16,3,,1,,1,3,,4,,53,2,1,,1,12,Farsi,1,10,1,10.5333,1
149241,04/10/2014,2,1,Origin,Work,3,Dest,Home,2,2,,2,,,1,,,2,,,,,3,16,3,,1,,1,3,,3,,68,2,1,,2,,,,10,1,13.3261,1
149242,04/10/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,16,3,,1,,1,4,,3,,63,2,3,,1,6,,2,10,1,10.5333,1
149243,04/10/2014,2,1,Origin,Work,3,Dest,Home,2,2,,3,,,1,,,2,,,,,3,16,3,,1,,1,3,,3,,58,2,3,,1,6,,1,7,1,6.7234,1
149244,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,5,,,1,,,2,,,,,1,16,2,,1,,1,3,,3,,51,2,2,,2,,,,9,2,6.2683,4
149245,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,3,16,4,,1,,1,4,,5,4,62,2,2,,2,,,,6,2,6.7234,2
149246,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,2,16,3,,1,,1,2,,4,,80,1,7,Latin,2,,,,6,1,5.5,2
149261,04/16/2014,1,3,Origin,Home,1,Dest,Work,2,2,,2,,,1,,,,2,,,,2,14,3,,1,,1,2,,1,,66,2,1,,2,,,,9,1,5.9333,1
149264,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,15,2,,1,,1,3,,4,,65,2,2,,1,5,,1,8,1,3.8537,2
149265,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,13,3,,1,,1,3,,3,,71,2,1,,2,,,,7,1,3.8537,2
149266,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,3,,1,,1,6,,4,,58,2,1,,2,,,,7,1,6.7234,2
149267,04/16/2014,1,3,Origin,Home,1,Dest,Work,4,2,,1,,,1,,,,2,,,,2,15,2,,1,,1,2,,2,,66,2,2,,2,,,,7,2,5.5,2
149268,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,1,6,1,,,1,,,,2,,,,1,16,3,,1,,1,2,,4,,51,1,7,Latina,2,,,,6,1,6.7234,3
149269,04/16/2014,1,3,Origin,Home,7,Dest,College,5,2,,1,3,,,,,,,,,2,2,16,2,,1,,1,3,,2,,95,1,5,,2,,,,5,2,11.2,3
149270,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,13,3,,1,,1,2,,3,,76,2,1,,2,,,,7,1,5.52,1
149271,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,16,4,,1,,1,3,,3,,53,2,1,,2,,,,8,1,5.7368,1
149272,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,15,3,,1,,1,3,,3,,62,2,3,,2,,,,8,1,13.3261,2
149273,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,14,3,,1,,1,3,,3,,58,2,3,,1,2,,1,7,1,9.8636,2
149274,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,5,,,1,,,,2,,,,4,15,3,,1,,1,3,,3,,80,2,7,Indian,1,12,Tamil,1,7,2,9.8636,1
154268,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,1,15,3,,1,,1,5,,5,4,54,1,7,Hispanic,2,,,,5,1,5.5,2
154269,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,1,16,4,,5,Employer Discount (SJSU),1,3,,3,,59,1,7,Hispanic,2,,,,6,1,5.5,2
154270,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,1,,,1,,,2,,,,,1,15,4,,5,Pre Tax Commuting Payroll Deduction,1,2,,3,,52,1,7,Hispanic,1,1,,1,6,1,8.5,2
154271,04/09/2014,2,1,Origin,Work,4,Dest,Social/Recreation,1,1,8,1,,,1,,,2,,,,,3,14,3,,1,,1,2,,3,,65,1,6,,2,,,,8,1,5.7368,2
154272,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,2,15,3,,1,,1,3,,3,,67,1,7,Spanish,2,,,,5,2,10.5333,1
154273,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,1,16,4,,1,,1,3,,3,,55,2,2,,2,,,,6,2,3.8537,1
154274,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,3,15,3,,1,,1,5,,4,,85,2,3,,1,12,Tamil,1,5,2,11.2,1
154275,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,3,15,2,,1,,1,3,,4,,59,2,2,,2,,,,8,1,8.4694,2
154276,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,2,,3,,,1,,,2,,,,,4,15,4,,1,,1,2,,3,,83,1,6,,1,1,,1,3,2,11.2,1
154278,04/15/2014,1,3,Origin,Home,1,Dest,Work,2,2,,2,,,1,,,,2,,,,1,15,3,,1,,1,2,,2,,74,2,1,,2,,,,5,1,5.5,1
154279,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,14,4,,1,,1,4,,3,,61,2,1,,2,,,,5,2,6.7234,2
154280,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,3,,1,,1,2,,3,,62,1,7,Hispanic,2,,,,8,1,5.7368,2
154281,04/16/2014,1,3,Origin,Home,1,Dest,Work,1,2,,1,,,1,,,,2,,,,1,17,2,,1,,1,2,,1,,0,2,7,Middle Eastern,1,12,Farsi,1,10,1,3.8537,2
154282,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,1,15,4,,1,,1,3,,4,,57,2,1,,2,,,,10,2,5.9333,1
154283,04/16/2014,1,3,Origin,Home,1,Dest,Work,5,2,,3,,,1,,,,2,,,,2,16,3,,1,,1,3,,3,,55,2,1,,2,,,,8,2,3.8537,1
154284,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,4,,1,,1,2,,3,,54,1,7,Hispanic,2,,,,6,2,9.3684,2
154285,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,4,,,1,,,,2,,,,2,14,4,,1,,1,2,,4,,53,2,1,,2,,,,7,2,6.2683,1
154287,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,14,4,,1,,1,5,,4,,57,2,1,,2,,,,7,1,11.2,2
154289,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,2,16,3,,1,,1,2,,4,,49,1,7,Hispanic,2,,,,6,1,6.2683,1
154290,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,16,3,,1,,1,3,,3,,55,2,1,,1,12,Dutch,1,8,1,6.7234,2
154291,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,14,4,,1,,1,3,,3,,82,2,3,,1,4,,1,7,2,5.7368,2
154292,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,3,,1,,1,3,,3,,82,2,2,,2,,,,7,1,8.4694,3
154294,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,15,3,,1,,1,3,,5,4,64,2,2,,2,,,,8,1,13.3261,2
154295,04/16/2014,1,3,Origin,Home,7,Dest,College,2,1,6,1,4,,,,,,,,,2,1,15,3,,1,,2,1,,1,,89,2,1,,2,,,,10,2,5.5,3
154296,04/16/2014,1,4,Origin,Social/Recreation,3,Dest,Home,5,2,,3,,,1,,,2,,,,,2,14,1,,1,,1,3,,3,,84,1,7,Hispanic/Latino,1,1,,1,5,1,5.5,1
154297,04/16/2014,1,3,Origin,Home,7,Dest,College,4,2,,1,4,,,,,,,,,2,2,15,3,,1,,2,3,,2,,92,1,7,Hispanic/Latino,1,1,,1,5,2,4.9286,2
154298,04/17/2014,1,3,Origin,Home,1,Dest,Work,4,2,,1,,,1,,,,2,,,,3,16,4,,1,,1,2,,3,,68,2,1,,2,,,,7,1,3.8537,2
154299,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,18,3,,1,,1,2,,3,,63,2,2,,2,,,,6,1,3.8537,2
154301,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,15,3,,1,,1,2,,3,,55,2,1,,2,,,,8,1,6.2683,2
154304,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,15,4,,1,,1,3,,2,,52,2,3,,2,,,,5,2,11.2,2
154306,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,13,3,,1,,1,3,,3,,64,2,3,,1,12,Hindi,1,8,1,5.7368,2
154307,04/17/2014,1,4,Origin,Social/Recreation,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,3,,1,,1,3,,5,10,66,2,1,,2,,,,8,2,5.7368,2
154308,04/17/2014,1,3,Origin,Home,1,Dest,Work,4,2,,1,,,1,,,,2,,,,4,15,3,,1,,1,2,,2,,78,2,3,,1,12,Telugu,1,6,1,13.3261,2
154309,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,16,3,,1,,1,2,,2,,81,2,3,,1,12,Tamil,2,7,1,9.9167,2
154310,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,4,15,3,,1,,1,3,,3,,73,2,5,,2,,,,8,2,9.8636,2
159139,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,1,,,1,,,2,,,,,1,15,1,,1,,1,5,,5,5,52,2,5,,1,6,,1,5,1,4.9286,1
159140,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,2,,3,,,1,,,2,,,,,2,3,4,,1,,1,3,,3,,57,1,7,Spanish,1,1,,2,4,1,8.5,1
159142,04/09/2014,2,1,Origin,Work,3,Dest,Home,4,2,,3,,,1,,,2,,,,,1,15,3,,1,,1,3,,5,4,66,2,2,,2,,,,7,2,13.3261,1
159143,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,1,,,1,,,2,,,,,3,15,3,,1,,1,3,,5,4,64,2,1,,2,,,,9,1,5.7368,1
159145,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,3,,,1,,,2,,,,,4,15,4,,1,,1,2,,2,,59,2,1,,2,,,,7,1,5.7368,2
159148,04/09/2014,2,1,Origin,Work,3,Dest,Home,1,1,9,3,,,1,,,2,,,,,1,15,4,,1,,1,2,,2,,51,2,1,,2,,,,5,1,6.2683,2
159149,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,1,14,3,,1,,1,3,,5,4,63,1,7,Hispanic,1,1,,1,7,1,6.7234,1
159150,04/09/2014,2,1,Origin,Work,3,Dest,Home,3,2,,3,,,1,,,2,,,,,2,16,4,,1,,1,3,,5,5,61,2,3,,1,4,,2,6,1,3.8537,1
159151,04/10/2014,2,1,Origin,Work,3,Dest,Home,4,2,,3,,,1,,,2,,,,,1,16,2,,1,,1,2,,2,,61,2,1,,2,,,,5,1,5.5,1
159153,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,4,,,1,,,2,,,,,1,16,4,,1,,1,4,,3,,66,2,6,,2,,,,5,2,5.5,3
159154,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,4,4,,,1,,,2,,,,,1,16,2,,1,,1,2,,2,,81,2,2,,2,,,,4,2,5.5,3
159155,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,8,5,,,1,,,2,,,,,1,17,4,,1,,1,3,,4,,55,2,2,,1,12,Bemba,1,6,1,6.7234,3
159156,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,13,3,,,1,,,2,,,,,4,16,3,,1,,1,2,,3,,75,2,3,,1,12,Tamil,1,8,1,8.4286,2
159157,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,4,3,,,1,,,2,,,,,2,16,4,,1,,1,2,,3,,79,2,1,,2,,,,5,1,4.9286,2
159158,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,2,,1,,,1,,,2,,,,,3,16,4,,1,,1,4,,3,,90,1,6,,1,1,,1,5,2,11.2,1
159159,04/10/2014,2,1,Origin,Work,3,Dest,Home,1,1,5,3,,,1,,,2,,,,,4,16,3,,1,,1,4,,4,,68,2,3,,1,6,,1,7,2,11.2,2
159160,04/15/2014,1,3,Origin,Home,7,Dest,College,5,2,,1,4,,,,,,,,,2,1,14,2,,1,,1,5,,4,,81,2,7,Italian,2,,,,9,1,5.9333,2
159161,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,16,2,,1,,1,2,,2,,61,2,1,,2,,,,5,1,5.5,2
159162,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,1,6,1,,,1,,,,2,,,,1,17,3,,3,,1,2,,5,4,64,2,7,American,2,,,,5,1,5.5,3
159163,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,1,15,4,,3,,1,2,,3,,52,2,1,,2,,,,7,2,10.5333,1
159164,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,1,14,3,,1,,1,2,,2,,65,2,1,,2,,,,5,2,6.7234,1
159165,04/15/2014,1,3,Origin,Home,1,Dest,Work,3,2,,2,,,1,,,,2,,,,1,14,3,,1,,1,3,,4,,57,2,4,,2,,,,7,1,5.52,1
159169,04/15/2014,1,3,Origin,Home,1,Dest,Work,1,2,,1,,,1,,,,2,,,,2,15,4,,2,,2,5,,5,4,46,2,1,,2,,,,6,1,13.3261,2
159171,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,17,3,,1,,1,2,,4,,59,1,7,Hispanic,1,1,,2,5,2,3.8537,2
159172,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,15,4,,1,,1,3,,3,,54,2,1,,2,,,,5,1,6.2683,2
159173,04/16/2014,1,3,Origin,Home,1,Dest,Work,2,2,,2,,,1,,,,2,,,,2,15,4,,1,,1,3,,3,,60,2,1,,1,12,Hungarian,1,4,1,5.5,1
159174,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,2,15,3,,1,,1,2,,5,5,58,2,1,,2,,,,6,1,9.3684,1
159175,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,14,3,,1,,1,4,,5,4,65,2,1,,2,,,,10,2,11.2,2
159176,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,2,14,3,,1,,1,3,,3,,62,2,1,,2,,,,5,1,11.2,2
159177,04/16/2014,1,3,Origin,Home,1,Dest,Work,4,2,,1,,,1,,,,2,,,,2,15,3,,1,,1,3,,3,,91,2,1,,2,,,,5,1,5.52,2
159178,04/16/2014,1,3,Origin,Home,1,Dest,Work,1,2,,1,,,1,,,,2,,,,3,15,3,,1,,1,3,,3,,79,2,1,,2,,,,10,2,13.3261,1
159179,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,14,3,,1,,1,3,,3,,0,2,3,,1,12,Telugu,1,8,2,13.3261,2
159180,04/16/2014,1,3,Origin,Home,1,Dest,Work,2,2,,2,,,1,,,,2,,,,3,16,4,,1,,1,3,,3,,71,2,1,,2,,,,10,1,13.3261,1
159181,04/16/2014,1,3,Origin,Home,1,Dest,Work,1,1,1,1,,,3,Q125,,,2,,,,3,16,4,,1,,1,2,,2,,65,2,2,,2,,,,5,2,9.8636,3
159183,04/16/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,15,3,,1,,1,3,,3,,66,2,3,,2,,,,5,1,5.7368,1
159184,04/17/2014,1,3,Origin,Home,1,Dest,Work,1,1,7,1,,,1,,,,2,,,,2,17,3,,1,,2,3,,1,,55,2,1,,1,1,,1,9,1,8.5,3
159185,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,16,3,,1,,1,3,,2,,71,2,1,,2,,,,10,2,3.8537,2
159186,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,4,,,1,,,,2,,,,3,15,3,,1,,1,3,,3,,71,1,7,Hispanic,2,,,,7,1,3.8537,1
159187,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,1,6,3,,,1,,,,2,,,,2,16,3,,1,,1,5,,4,,77,2,2,,2,,,,7,1,9.3684,2
159188,04/17/2014,1,3,Origin,Home,1,Dest,Work,5,2,,1,,,1,,,,2,,,,3,19,3,,2,,1,2,,4,,46,2,1,,1,1,,1,10,1,6.7234,2
159189,04/17/2014,1,3,Origin,Home,1,Dest,Work,4,2,,1,,,1,,,,2,,,,4,14,4,,1,,1,3,,4,,0,2,3,,1,4,,1,10,2,11.2,2
159190,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,3,,,1,,,,2,,,,3,16,3,,1,,1,2,,4,,67,1,7,Hispanic,1,1,,2,5,1,9.3684,1
159191,04/17/2014,1,3,Origin,Home,1,Dest,Work,3,2,,1,,,1,,,,2,,,,3,14,4,,1,,1,4,,5,5,64,2,1,,2,,,,8,2,11.2,2
