info_type,generic_variable,variable_type,data_type,valid_values_for_categoric_variables,standard_values_for_categoric_variables,other_requirements,,
trip info,dest_purp,categoric,string,Other Maintenance,other maintenance,,,
trip info,dest_purp,categoric,string,Other,other,,,
trip info,dest_lat,numerical,float,,,,,
trip info,dest_lon,numerical,float,,,,,
trip info,home_lat,numerical,float,,,,,
trip info,home_lon,numerical,float,,,,,
trip info,depart_hour,numerical,integer,,,,,
trip info,return_hour,numerical,integer,,,,,
trip info,work_status,categoric,string,full- or part-time,full- or part-time,,,
trip info,work_status,categoric,string,non-worker,non-worker,,,
trip info,workplace_lat,numerical,float,,,,,
trip info,workplace_lon,numerical,float,,,,,
trip info,at_work_prior_to_orig_purp,categoric,string,at work before surveyed trip,at work before surveyed trip,,,
trip info,at_work_prior_to_orig_purp,categoric,string,not at work before surveyed trip,not at work before surveyed trip,,,
trip info,at_work_after_dest_purp,categoric,string,at work after surveyed trip,at work after surveyed trip,,,
trip info,at_work_after_dest_purp,categoric,string,not at work after surveyed trip,not at work after surveyed trip,,,
trip info,student_status,categoric,string,full- or part-time,full- or part-time,,,
trip info,student_status,categoric,string,non-student,non-student,,,
trip info,school_lat,numerical,float,,,,,
trip info,school_lon,numerical,float,,,,,
trip info,at_school_prior_to_orig_purp,categoric,string,at school before surveyed trip,at school before surveyed trip,,,
trip info,at_school_prior_to_orig_purp,categoric,string,not at school before surveyed trip,not at school before surveyed trip,,,
trip info,at_school_after_dest_purp,categoric,string,at school after surveyed trip,at school after surveyed trip,,,
trip info,at_school_after_dest_purp,categoric,string,not at school after surveyed trip,not at school after surveyed trip,,,
trip info,fare_category,categoric,string,ada/accomp,disabled,,,
trip info,fare_category,categoric,string,adult,adult,, ,
trip info,fare_category,categoric,string,adult/student,adult,, ,
trip info,fare_category,categoric,string,buy one/2nd passenger half-price/free promotion,other discount,, ,
trip info,fare_category,categoric,string,city pass,other discount,, ,
trip info,fare_category,categoric,string,disabled,disabled,, ,
trip info,fare_category,categoric,string,disabled/rtc,disabled,, ,
trip info,fare_category,categoric,string,do not know,missing,, ,
trip info,fare_category,categoric,string,easypass or class pass,easypass or class pass,, ,
trip info,fare_category,categoric,string,employee discount,other discount,, ,
trip info,fare_category,categoric,string,free,free,, ,
trip info,fare_category,categoric,string,free trip card,free,, ,
trip info,fare_category,categoric,string,group discount,other discount,, ,
trip info,fare_category,categoric,string,lynx pass,other discount,, ,
trip info,fare_category,categoric,string,lynxs,other discount,, ,
trip info,fare_category,categoric,string,"machine gives you free transfer, bart pays cash",free,, ,
trip info,fare_category,categoric,string,medicare,senior,, ,
trip info,fare_category,categoric,string,missing,missing,, ,
trip info,fare_category,categoric,string,Missing,missing,, ,
trip info,fare_category,categoric,string,monthly ticket,other discount,, ,
trip info,fare_category,categoric,string,oakland a's promotion,other discount,, ,
trip info,fare_category,categoric,string,one way,adult,, ,
trip info,fare_category,categoric,string,other,other,, ,
trip info,fare_category,categoric,string,other discount,other discount,, ,
trip info,fare_category,categoric,string,para,disabled,, ,
trip info,fare_category,categoric,string,police officer/leo,other discount,, ,
trip info,fare_category,categoric,string,program bus pass grom turning point,other discount,, ,
trip info,fare_category,categoric,string,promotional/special (not specified),other discount,, ,
trip info,fare_category,categoric,string,round trip,adult,,,
trip info,fare_category,categoric,string,rtc,disabled,,,
trip info,fare_category,categoric,string,senior,senior,,,
trip info,fare_category,categoric,string,senior 1/2 off promotion,senior,,,
trip info,fare_category,categoric,string,senior or disabled,senior/disabled,,,
trip info,fare_category,categoric,string,staff discount-sjsu,senior/disabled,,,
trip info,fare_category,categoric,string,student,student/youth,,,
trip info,fare_category,categoric,string,student discount,student/youth,,,
trip info,fare_category,categoric,string,ten-ride/45-day ticket,other discount,,,
trip info,fare_category,categoric,string,youth,student/youth,,,
trip info,fare_category,categoric,string,youth(<19),student/youth,,,
trip info,fare_medium,categoric,string,10-ride pass,pass,,, 
trip info,fare_medium,categoric,string,10-ride ticket,ticket,,, 
trip info,fare_medium,categoric,string,12 day pass,pass,,, 
trip info,fare_medium,categoric,string,1-way rv/isleton dev,other,,, 
trip info,fare_medium,categoric,string,20 day pass,pass,,, 
trip info,fare_medium,categoric,string,20 ride,pass,,, 
trip info,fare_medium,categoric,string,20 ride pass,pass,,, 
trip info,fare_medium,categoric,string,20-ride pass,pass,,, 
trip info,fare_medium,categoric,string,20-trip ticket,ticket,,, 
trip info,fare_medium,categoric,string,31 day lynx,pass,,, 
trip info,fare_medium,categoric,string,31 day pass lynx,pass,,, 
trip info,fare_medium,categoric,string,31-day pass,pass,,, 
trip info,fare_medium,categoric,string,ac transit transfer,transfer,,, 
trip info,fare_medium,categoric,string,ADA,other,,, 
trip info,fare_medium,categoric,string,adult 31-day,pass,,, 
trip info,fare_medium,categoric,string,adult 31-day pass,pass,,, 
trip info,fare_medium,categoric,string,adult day pass,pass,,, 
trip info,fare_medium,categoric,string,adult monthly,pass,,, 
trip info,fare_medium,categoric,string,adult ticket,ticket,,, 
trip info,fare_medium,categoric,string,Ambassador Pass,pass,,, 
trip info,fare_medium,categoric,string,amtrak mobile app,e-ticket,,, 
trip info,fare_medium,categoric,string,Bart transfer for $1.50,transfer,,, 
trip info,fare_medium,categoric,string,bus pass provided by work,pass,,, 
trip info,fare_medium,categoric,string,Capitol corridor transfer,transfer,,, 
trip info,fare_medium,categoric,string,cash,cash,,, 
trip info,fare_medium,categoric,string,cash (bills and coins),cash,,, 
trip info,fare_medium,categoric,string,cash (clipper card),cash,,, 
trip info,fare_medium,categoric,string,cash (clipper),cash,,, 
trip info,fare_medium,categoric,string,cash (coins and bills),cash,,, 
trip info,fare_medium,categoric,string,cash (one way),cash,,, 
trip info,fare_medium,categoric,string,cash (round trip),cash,,, 
trip info,fare_medium,categoric,string,cash (single ride),cash,,, 
trip info,fare_medium,categoric,string,cash 31-day pass,cash,,, 
trip info,fare_medium,categoric,string,cash or paper,cash,,, 
trip info,fare_medium,categoric,string,change card,clipper (cash),,, 
trip info,fare_medium,categoric,string,clipper,clipper (cash),,, 
trip info,fare_medium,categoric,string,clipper (8-ride),clipper (pass),,, 
trip info,fare_medium,categoric,string,clipper (e-cash),clipper (cash),,, 
trip info,fare_medium,categoric,string,clipper (monthly),clipper (pass),,, 
trip info,fare_medium,categoric,string,clipper (pass),clipper (pass),,, 
trip info,fare_medium,categoric,string,clipper 10-ride pass,clipper (pass),,, 
trip info,fare_medium,categoric,string,clipper 31-day pass,clipper (pass),,, 
trip info,fare_medium,categoric,string,clipper cash,clipper (cash),,, 
trip info,fare_medium,categoric,string,clipper day pass,clipper (pass),,, 
trip info,fare_medium,categoric,string,clipper pass,clipper (pass),,, 
trip info,fare_medium,categoric,string,college,pass,,, 
trip info,fare_medium,categoric,string,college of marin pass,pass,,, 
trip info,fare_medium,categoric,string,conductor/on train,ticket,,, 
trip info,fare_medium,categoric,string,county employee,other,,, 
trip info,fare_medium,categoric,string,county provided,other,,, 
trip info,fare_medium,categoric,string,day pass,pass,,, 
trip info,fare_medium,categoric,string,Did not pay,other,,, 
trip info,fare_medium,categoric,string,discount (rtc),ticket,,, 
trip info,fare_medium,categoric,string,do not know,missing,,, 
trip info,fare_medium,categoric,string,ecopass,pass,,, 
trip info,fare_medium,categoric,string,employer/wage works,other,,, 
trip info,fare_medium,categoric,string,e-ticket,e-ticket,,, 
trip info,fare_medium,categoric,string,"exempt (employee, law enforcement)",free,,, 
trip info,fare_medium,categoric,string,fact bus buss program,pass,,, 
trip info,fare_medium,categoric,string,Free,free,,, 
trip info,fare_medium,categoric,string,free city bus employye,free,,, 
trip info,fare_medium,categoric,string,free ride token,free,,, 
trip info,fare_medium,categoric,string,from a quik-trak ticket machine,ticket,,, 
trip info,fare_medium,categoric,string,from a station agent,ticket,,, 
trip info,fare_medium,categoric,string,Gold card,other,,, 
trip info,fare_medium,categoric,string,gvnt bus pass,pass,,, 
trip info,fare_medium,categoric,string,half price 31-day pass,pass,,, 
trip info,fare_medium,categoric,string,half price day pass,pass,,, 
trip info,fare_medium,categoric,string,half price monthly,pass,,, 
trip info,fare_medium,categoric,string,half price ticket,pass,,, 
trip info,fare_medium,categoric,string,hopthru pass,pass,,, 
trip info,fare_medium,categoric,string,k-12 student youth pass (semester or annual),pass,,, 
trip info,fare_medium,categoric,string,"local city or transit office (city of roseville, placer county transit, etc.)",free,,, 
trip info,fare_medium,categoric,string,Lynx 31 day,pass,,, 
trip info,fare_medium,categoric,string,Lynx 31 day pass,pass,,, 
trip info,fare_medium,categoric,string,"marin local pass (1, 7, or 31-day)",pass,,, 
trip info,fare_medium,categoric,string,medicare,other,,, 
trip info,fare_medium,categoric,string,missing,missing,,, 
trip info,fare_medium,categoric,string,Missing,missing,,, 
trip info,fare_medium,categoric,string,monthly,pass,,, 
trip info,fare_medium,categoric,string,monthly intercity,pass,,, 
trip info,fare_medium,categoric,string,monthly pass,pass,,, 
trip info,fare_medium,categoric,string,no payment,free,,, 
trip info,fare_medium,categoric,string,one day pass,pass,,, 
trip info,fare_medium,categoric,string,one-way ticket,ticket,,, 
trip info,fare_medium,categoric,string,other,other,,, 
trip info,fare_medium,categoric,string,paper pass,pass,,, 
trip info,fare_medium,categoric,string,paper ticket,ticket,,, 
trip info,fare_medium,categoric,string,paratransit free rider,free,,, 
trip info,fare_medium,categoric,string,Parking pass hercules,pass,,, 
trip info,fare_medium,categoric,string,Parking pass hercules transit,pass,,, 
trip info,fare_medium,categoric,string,pass,pass,,, 
trip info,fare_medium,categoric,string,pass (10 fare bust adult and student,pass,,, 
trip info,fare_medium,categoric,string,pass (10 fare bust senior and disabl,pass,,, 
trip info,fare_medium,categoric,string,pass (10-ride),pass,,, 
trip info,fare_medium,categoric,string,pass (12-ride express),pass,,, 
trip info,fare_medium,categoric,string,pass (12-ride punch),pass,,, 
trip info,fare_medium,categoric,string,pass (20 ride),pass,,, 
trip info,fare_medium,categoric,string,pass (20-ride fastpass),pass,,, 
trip info,fare_medium,categoric,string,pass (20-ride),pass,,, 
trip info,fare_medium,categoric,string,pass (24 hour),pass,,,
trip info,fare_medium,categoric,string,pass (24-hr),pass,,,
trip info,fare_medium,categoric,string,pass (31-day),pass,,,
trip info,fare_medium,categoric,string,pass (annual),pass,,,
trip info,fare_medium,categoric,string,pass (citybus ticketbook),pass,,,
trip info,fare_medium,categoric,string,pass (clipper),pass,,,
trip info,fare_medium,categoric,string,pass (commuter card),pass,,,
trip info,fare_medium,categoric,string,pass (day),pass,,,
trip info,fare_medium,categoric,string,pass (east bay value),pass,,,
trip info,fare_medium,categoric,string,pass (employee),pass,,,
trip info,fare_medium,categoric,string,pass (free ride),pass,,,
trip info,fare_medium,categoric,string,pass (go),pass,,,
trip info,fare_medium,categoric,string,pass (group),pass,,,
trip info,fare_medium,categoric,string,pass (hacienda park),pass,,,
trip info,fare_medium,categoric,string,pass (inter-agency),pass,,,
trip info,fare_medium,categoric,string,pass (monthly disabled),pass,,,
trip info,fare_medium,categoric,string,pass (monthly senior),pass,,,
trip info,fare_medium,categoric,string,pass (monthly),pass,,,
trip info,fare_medium,categoric,string,pass (montly express),pass,,,
trip info,fare_medium,categoric,string,pass (paper with mag stripe),pass,,,
trip info,fare_medium,categoric,string,pass (paratransit id),pass,,,
trip info,fare_medium,categoric,string,pass (promotion),pass,,,
trip info,fare_medium,categoric,string,pass (residential),pass,,,
trip info,fare_medium,categoric,string,pass (rtc card),pass,,,
trip info,fare_medium,categoric,string,pass (short hop),pass,,,
trip info,fare_medium,categoric,string,pass (super),pass,,,
trip info,fare_medium,categoric,string,pass (ucb id card),pass,,,
trip info,fare_medium,categoric,string,punch-20,pass,,,
trip info,fare_medium,categoric,string,round-trip ticket,ticket,,,
trip info,fare_medium,categoric,string,rtc discount card,pass,,,
trip info,fare_medium,categoric,string,senior,pass,,,
trip info,fare_medium,categoric,string,Senior pass buy at lake merriot station,pass,,,
trip info,fare_medium,categoric,string,"someone else purchased the ticket (group leader, family member, etc.)",ticket,,,
trip info,fare_medium,categoric,string,srjc student pass,pass,,,
trip info,fare_medium,categoric,string,superpass,pass,,,
trip info,fare_medium,categoric,string,the superpass,pass,,,
trip info,fare_medium,categoric,string,ticket,ticket,,,
trip info,fare_medium,categoric,string,ticket (10 booklet),ticket,,,
trip info,fare_medium,categoric,string,ticket (20 booklet),ticket,,,
trip info,fare_medium,categoric,string,ticket (40 booklet),ticket,,,
trip info,fare_medium,categoric,string,ticket (one-way),ticket,,,
trip info,fare_medium,categoric,string,ticket (paper with mag strip),ticket,,,
trip info,fare_medium,categoric,string,ticket (paratransit),ticket,,,
trip info,fare_medium,categoric,string,token,e-ticket,,,
trip info,fare_medium,categoric,string,transfer,transfer,,,
trip info,fare_medium,categoric,string,Transfer,transfer,,,
trip info,fare_medium,categoric,string,transfer (ac/dex),transfer,,,
trip info,fare_medium,categoric,string,transfer (ACE),transfer,,,
trip info,fare_medium,categoric,string,transfer (bart paper + cash),transfer,,,
trip info,fare_medium,categoric,string,transfer (bart paper),transfer,,,
trip info,fare_medium,categoric,string,transfer (BART),transfer,,,
trip info,fare_medium,categoric,string,transfer (bart),transfer,,,
trip info,fare_medium,categoric,string,transfer (bus),transfer,,,
trip info,fare_medium,categoric,string,transfer (clipper),transfer,,,
trip info,fare_medium,categoric,string,transfer (county connection paper),transfer,,,
trip info,fare_medium,categoric,string,transfer (County Connection),transfer,,,
trip info,fare_medium,categoric,string,transfer (golden gate or ferry shutt,transfer,,,
trip info,fare_medium,categoric,string,transfer (not santa rosa citybus),transfer,,,
trip info,fare_medium,categoric,string,transfer (paper with mag strip),transfer,,,
trip info,fare_medium,categoric,string,transfer (santa rosa citybus),transfer,,,
trip info,fare_medium,categoric,string,transfer (WHEELS),transfer,,,
trip info,fare_medium,categoric,string,Transfer from bart free,transfer,,,
trip info,fare_medium,categoric,string,veteran pass,pass,,,
trip info,fare_medium,categoric,string,website (capitol corridor or amtrak),e-ticket,,,
trip info,fare_medium,categoric,string,Westcat parking pass trip,pass,,,
trip info,fare_medium,categoric,string,youth 31-day pass,pass,,,
trip info,fare_medium,categoric,string,youth class pass (free),pass,,,
trip info,fare_medium,categoric,string,youth day pass,pass,,,
trip info,fare_medium,categoric,string,youth monthly,pass,,,
trip info,fare_medium,categoric,string,youth quarterly pass,pass,,,
trip info,fare_medium,categoric,string,youth ticket,ticket,,,
demographic,year_born_four_digit,numerical,integer,,,,,
demographic,gender,categoric,string,male,male,,,
demographic,gender,categoric,string,female,female,,,
demographic,gender,categoric,string,other,other,,,
demographic,hispanic,categoric,string,HISPANIC/LATINO OR OF SPANISH ORIGIN,HISPANIC/LATINO OR OF SPANISH ORIGIN,,,
demographic,hispanic,categoric,string,NOT HISPANIC/LATINO OR OF SPANISH ORIGIN,NOT HISPANIC/LATINO OR OF SPANISH ORIGIN,,,
demographic,race_dmy_asn,binary,integer,0,0,,,
demographic,race_dmy_asn,binary,integer,1,1,,,
demographic,race_dmy_blk,binary,integer,0,0,,,
demographic,race_dmy_blk,binary,integer,1,1,,,
demographic,race_dmy_hwi,binary,integer,0,0,,,
demographic,race_dmy_hwi,binary,integer,1,1,,,
demographic,race_dmy_ind,binary,integer,0,0,,,
demographic,race_dmy_ind,binary,integer,1,1,,,
demographic,race_dmy_mdl_estn,binary,integer,0,0,,,
demographic,race_dmy_mdl_estn,binary,integer,1,1,,,
demographic,race_dmy_wht,binary,integer,0,0,,,
demographic,race_dmy_wht,binary,integer,1,1,,,
demographic,race_other_string,non-categorical,string,,,,,
demographic,persons,categoric,string,one,one,,,
demographic,persons,categoric,string,two,two,,,
demographic,persons,categoric,string,three,three,,,
demographic,persons,categoric,string,four,four,,,
demographic,persons,categoric,string,five,five,,,
demographic,persons,categoric,string,six,six,,,
demographic,persons,categoric,string,seven,seven,,,
demographic,persons,categoric,string,eight,eight,,,
demographic,persons,categoric,string,nine,nine,,,
demographic,persons,categoric,string,ten or more,ten or more,,,
demographic,workers,categoric,string,zero,zero,,,
demographic,workers,categoric,string,one,one,,,
demographic,workers,categoric,string,two,two,,,
demographic,workers,categoric,string,three,three,,,
demographic,workers,categoric,string,four,four,,,
demographic,workers,categoric,string,five,five,,,
demographic,workers,categoric,string,six or more,six or more,,,
demographic,vehicles,categoric,string,zero,zero,,,
demographic,vehicles,categoric,string,one,one,,,
demographic,vehicles,categoric,string,two,two,,,
demographic,vehicles,categoric,string,three,three,,,
demographic,vehicles,categoric,string,four or more,four or more,,,
demographic,household_income,categoric,string,"under $10,000","under $10,000",,,
demographic,household_income,categoric,string,"$10,000 to $24,999","$10,000 to $24,999",,,
demographic,household_income,categoric,string,"$25,000 to $34,999","$25,000 to $34,999",,,
demographic,household_income,categoric,string,"$35,000 to $49,999","$35,000 to $49,999",,,
demographic,household_income,categoric,string,"$35,000 to $39,999","$35,000 to $49,999",,,
demographic,household_income,categoric,string,"$40,000 to $49,999","$50,000 to $74,999",,,
demographic,household_income,categoric,string,"$50,000 to $74,999","$50,000 to $75,000",,,
demographic,household_income,categoric,string,"$50,000 to $59,999","$50,000 to $75,000",,,
demographic,household_income,categoric,string,"$60,000 to $74,999","$50,000 to $75,000",,,
demographic,household_income,categoric,string,"$75,000 to $99,999","$75,000 to $99,999",,,
demographic,household_income,categoric,string,"$100,000 to $149,999","$100,000 to $149,999",,,
demographic,household_income,categoric,string,"$150,000 or higher","$150,000 or higher",,,
demographic,household_income,categoric,string,"$150,000 to $199,999","$150,000 or higher",,,
demographic,household_income,categoric,string,"$200,000 or higher","$150,000 or higher",,,
demographic,language_at_home_binary,categoric,string,ENGLISH ONLY,ENGLISH ONLY,,,
demographic,language_at_home_binary,categoric,string,OTHER,OTHER,,,
demographic,language_at_home_detail,non-categorical,string,,,,,
demographic,eng_proficient,categoric,string,VERY WELL,VERY WELL,,,
demographic,eng_proficient,categoric,string,WELL,WELL,,,
demographic,eng_proficient,categoric,string,NOT WELL,NOT WELL,,,
demographic,eng_proficient,categoric,string,NOT AT ALL,NOT AT ALL,,,
demographic,weight,numerical,float,,,,,
